"task","task_is","weight","hierarchy_belongs","source","Description"
"Information Extraction","AI task","1","Natural Language Processing","paperswithcode",""
"Edge Detection","AI task","1","Computer Vision","paperswithcode",""
"Stance Detection","AI task","1","Natural Language Processing","paperswithcode","Stance detection is the extraction of a subjects reaction to a claim made by a primary actor. It is a core part of a set of approaches to fake news assessment.

Example:

* Source: Apples are the most delicious fruit in existence
* Reply: Obviously not, because that is a reuben from Katzs
* Stance: deny"
"Speech Synthesis","AI task","1","Speech","paperswithcode","Speech synthesis is the task of generating speech from text. 

Please note that the state-of-the-art tables here are not really comparable between studies - as they use mean opinion score as a metric and collect different samples from Amazon Mechnical Turk."
"Medical Image Segmentation","AI task","1","Medical","paperswithcode","Medical image segmentation is the task of segmenting objects of interest in a medical image - for example organs or lesions."
"Drug Discovery","AI task","1","Medical","paperswithcode","Drug discovery is the task of applying machine learning to discover new candidate drugs."
"Language Modelling","AI task","1","Natural Language Processing","paperswithcode","Language modeling is the task of predicting the next word or character in a document.

\* indicates models using dynamic evaluation; where, at test time, models may adapt to seen tokens in order to improve performance on following tokens. ([Mikolov et al., (2010)](https:www.fit.vutbr.czresearchgroupsspeechpubli2010mikolov_interspeech2010_IS100722.pdf), [Kraus et al., (2017)](https:arxiv.orgpdf1709.07432))"
"Word Sense Disambiguation","AI task","1","Natural Language Processing","paperswithcode","The task of Word Sense Disambiguation (WSD) consists of associating words in context with their most suitable entry in a pre-defined sense inventory. The de-facto sense inventory for English in WSD is [WordNet](https:wordnet.princeton.edu).
For example, given the word “mouse” and the following sentence:

“A mouse consists of an object held in ones hand, with one or more buttons.” 

we would assign “mouse”  with its electronic device sense ([the 4th sense in the WordNet sense inventory](http:wordnetweb.princ"
"Common Sense Reasoning","AI task","1","Reasoning","paperswithcode","Common sense reasoning tasks are intended to require the model to go beyond pattern 
recognition. Instead, the model should use common sense or world knowledge
to make inferences."
"Crowds","AI task","1","Computer Vision","paperswithcode",""
"Representation Learning","AI task","1","Methodology","paperswithcode","Representation learning is concerned with training machine learning algorithms to learn useful representations, e.g. those that are interpretable, have latent features, or can be used for transfer learning."
"Knowledge Graphs","AI task","1","Knowledge Base","paperswithcode",""
"Text Generation","AI task","1","Natural Language Processing","paperswithcode","Text generation is the task of generating text with the goal of appearing indistinguishable to human-written text."
"Natural Language Inference","AI task","1","Natural Language Processing","paperswithcode","Natural language inference is the task of determining whether a hypothesis is 
true (entailment), false (contradiction), or undetermined (neutral) given a premise.

Example:

| Premise | Label | Hypothesis |
| --- | ---| --- |
| A man inspects the uniform of a figure in some East Asian country. | contradiction | The man is sleeping. |
| An older and younger man smiling. | neutral  | Two men are smiling and laughing at the cats playing on the floor. |
| A soccer game with multiple males playing. | e"
"Time Series Forecasting","AI task","1","Time Series","paperswithcode","Time series forecasting is the task of predicting future values of a time series (as well as uncertainty bounds)."
"Visual Question Answering","AI task","1","Computer Vision","paperswithcode",""
"Question Answering","AI task","1","Computer Vision","paperswithcode","Question answering is the task of answering a question."
"Transfer Learning","AI task","1","Methodology","paperswithcode","Transfer learning is a methodology where weights from a model trained on one task are taken and either used (a) to construct a fixed feature extractor, (b) as weight initialization andor fine-tuning."
"Action Recognition","AI task","1","Computer Vision","paperswithcode",""
"Video","AI task","1","Computer Vision","paperswithcode",""
"Person Re-Identification","AI task","1","Computer Vision","paperswithcode","Person re-identification is the task of associating images of the same person taken from different cameras or from the same camera in different occasions."
"Image Generation","AI task","1","Computer Vision","paperswithcode","Image generation (synthesis) is the task of generating new images from an existing dataset."
"Hypernym Discovery","AI task","1","Natural Language Processing","paperswithcode","Given a corpus and a target term (hyponym), the task of hypernym discovery consists of extracting a set of its most appropriate hypernyms from the corpus. For example, for the input word “dog”, some valid hypernyms would be “canine”, “mammal” or “animal”."
"Dialogue","AI task","1","Computer Vision","paperswithcode","Dialogue is notoriously hard to evaluate. Past approaches have used human evaluation."
"Part-Of-Speech Tagging","AI task","1","Natural Language Processing","paperswithcode","Part-of-speech tagging (POS tagging) is the task of tagging a word in a text with its part of speech.
A part of speech is a category of words with similar grammatical properties. Common English
parts of speech are noun, verb, adjective, adverb, pronoun, preposition, conjunction, etc.

Example: 

| Vinken | , | 61 | years | old |
| --- | ---| --- | --- | --- |
| NNP | , | CD | NNS | JJ |"
