"method","source","description"
"BiDAF (single model)","BiDAF (single model)","Bidirectional Attention Flow for Machine Comprehension"
"Match-LSTM with Ans-Ptr (Boundary) (ensemble)","Match-LSTM with Ans-Ptr (Boundary) (ensemble)","Machine Comprehension Using Match-LSTM and Answer Pointer"
"FABIR","FABIR","A Fully Attention-Based Information Retriever"
"AllenNLP BiDAF (single model)","AllenNLP BiDAF (single model)",""
"Iterative Co-attention Network","Iterative Co-attention Network",""
"newtest","newtest",""
"Dynamic Coattention Networks (single model)","Dynamic Coattention Networks (single model)","Dynamic Coattention Networks For Question Answering"
"Match-LSTM with Bi-Ans-Ptr (Boundary)","Match-LSTM with Bi-Ans-Ptr (Boundary)","Machine Comprehension Using Match-LSTM and Answer Pointer"
"Unnamed submission by ravioncodalab","Unnamed submission by ravioncodalab",""
"OTF dict+spelling (single)","OTF dict+spelling (single)","Learning to Compute Word Embeddings On the Fly"
"Attentive CNN context with LSTM","Attentive CNN context with LSTM",""
"OTF spelling (single)","OTF spelling (single)","Learning to Compute Word Embeddings On the Fly"
"OTF spelling+lemma (single)","OTF spelling+lemma (single)","Learning to Compute Word Embeddings On the Fly"
"Dynamic Chunk Reader","Dynamic Chunk Reader","End-to-End Answer Chunk Extraction and Ranking for Reading Comprehension"
"Fine-Grained Gating","Fine-Grained Gating","Words or Characters? Fine-grained Gating for Reading Comprehension"
"Match-LSTM with Ans-Ptr (Boundary)","Match-LSTM with Ans-Ptr (Boundary)","Machine Comprehension Using Match-LSTM and Answer Pointer"
"Match-LSTM with Ans-Ptr (Sentence)","Match-LSTM with Ans-Ptr (Sentence)","Machine Comprehension Using Match-LSTM and Answer Pointer"
"syntax, frame, coreference, and word embedding features","syntax, frame, coreference, and word embedding features","A Parallel-Hierarchical Model for Machine Comprehension on Sparse Data"
"BERT-joint","BERT-joint","A BERT Baseline for the Natural Questions"
"CFC","CFC","Coarse-grain Fine-grain Coattention Network for Multi-evidence Question Answering"
"Coref-GRU","Coref-GRU","Neural Models for Reasoning over Multiple Mentions using Coreference"
"MHPGM + NOIC","MHPGM + NOIC","Commonsense for Generative Multi-Hop Question Answering Tasks"
"BiDAF","BiDAF","Constructing Datasets for Multi-hop Reading Comprehension Across Documents"
"QRN","QRN","Query-Reduction Networks for Question Answering"
"EntNet","EntNet","Tracking the World State with Recurrent Entity Networks"
"DMN+","DMN+","Dynamic Neural Turing Machine with Soft and Hard Addressing Schemes"
"End-To-End Memory Networks","End-To-End Memory Networks","End-To-End Memory Networks"
"RUM","RUM","Rotational Unit of Memory"
"GORU","GORU","Gated Orthogonal Recurrent Units: On Learning to Forget"
"LSTM","LSTM","Scaling Memory-Augmented Neural Networks with Sparse Reads and Writes"
" RR"," RR","Recurrent Relational Networks"
"ReMO","ReMO","Finding ReMO (Related Memory Object): A Simple Neural Architecture for Text based Reasoning"
"SDNC","SDNC","Scaling Memory-Augmented Neural Networks with Sparse Reads and Writes"
"ConvKN","ConvKN","ConvKN at SemEval-2016 Task 3: Answer and Question Selection for Question Answering on Arabic and English Fora"
"AP-CNN","AP-CNN","Attentive Pooling Networks"
"ARC-II","ARC-II","Convolutional Neural Network Architectures for Matching Natural Language Sentences"
"Kelp","Kelp","KeLP at SemEval-2016 Task 3: Learning Semantic Relations between Questions and Answers"
"Attentive LSTM","Attentive LSTM","Neural Variational Inference for Text Processing"
"LSTM (lexical overlap + dist output)","LSTM (lexical overlap + dist output)","Neural Variational Inference for Text Processing"
"Bigram-CNN (lexical overlap + dist output)","Bigram-CNN (lexical overlap + dist output)","Deep Learning for Answer Sentence Selection"
"Paragraph vector (lexical overlap + dist output)","Paragraph vector (lexical overlap + dist output)","Distributed Representations of Sentences and Documents"
"LSTM","LSTM","Neural Variational Inference for Text Processing"
"Bigram-CNN","Bigram-CNN","Deep Learning for Answer Sentence Selection"
"Paragraph vector","Paragraph vector","Distributed Representations of Sentences and Documents"
"BERT Large Augmented (single model)","BERT Large Augmented (single model)","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding"
"SDNet (ensemble)","SDNet (ensemble)","SDNet: Contextualized Attention-based Deep Network for Conversational Question Answering"
"BERT-base finetune (single model)","BERT-base finetune (single model)","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding"
"SDNet (single model)","SDNet (single model)","SDNet: Contextualized Attention-based Deep Network for Conversational Question Answering"
"FlowQA (single model)","FlowQA (single model)","FlowQA: Grasping Flow in History for Conversational Machine Comprehension"
"BiDAF++ (single model)","BiDAF++ (single model)","A Qualitative Comparison of CoQA, SQuAD 2.0 and QuAC"
"DrQA + seq2seq with copy attention (single model)","DrQA + seq2seq with copy attention (single model)","CoQA: A Conversational Question Answering Challenge"
"Vanilla DrQA (single model)","Vanilla DrQA (single model)","CoQA: A Conversational Question Answering Challenge"
"AP-BiLSTM","AP-BiLSTM","Attentive Pooling Networks"
"LSTM","LSTM","Hyperbolic Representation Learning for Fast and Efficient Neural Question Answering"
"CNN","CNN","Hyperbolic Representation Learning for Fast and Efficient Neural Question Answering"
"Masque Q&A Style","Masque Q&A Style","Multi-style Generative Reading Comprehension"
"Deep Cascade QA","Deep Cascade QA","A Deep Cascade Model for Multi-Document Reading Comprehension"
"VNET","VNET","Multi-Passage Machine Reading Comprehension with Cross-Passage Answer Verification"
"BiDaF Baseline","BiDaF Baseline","Bidirectional Attention Flow for Machine Comprehension"
"Parallel-Hierarchical","Parallel-Hierarchical","A Parallel-Hierarchical Model for Machine Comprehension on Sparse Data"
"Memory chains and semantic supervision","Memory chains and semantic supervision","UNIMELB at SemEval-2016 Tasks 4A and 4B: An Ensemble of Neural Networks and a Word2Vec Based Model for Sentiment Classification"
"Hidden Coherence Model","Hidden Coherence Model","Story Comprehension for Predicting What Happens Next"
"val-LS-skip","val-LS-skip","A Simple and Effective Approach to the Story Cloze Test"
"Subgraph embeddings","Subgraph embeddings","Question Answering with Subgraph Embeddings"
"Weakly Supervised Embeddings","Weakly Supervised Embeddings","Open Question Answering with Weakly Supervised Embedding Models"
"BERT + Synthetic Self-Training (ensemble)","BERT + Synthetic Self-Training (ensemble)",""
"BERT finetune baseline (ensemble)","BERT finetune baseline (ensemble)",""
"Lunet + Verifier + BERT (ensemble)","Lunet + Verifier + BERT (ensemble)",""
"PAML+BERT (ensemble model)","PAML+BERT (ensemble model)",""
"Lunet + Verifier + BERT (single model)","Lunet + Verifier + BERT (single model)",""
"BERT + Synthetic Self-Training (single model)","BERT + Synthetic Self-Training (single model)",""
"PAML+BERT (single model)","PAML+BERT (single model)",""
"AoA + DA + BERT (ensemble)","AoA + DA + BERT (ensemble)",""
"BERT finetune baseline (single model)","BERT finetune baseline (single model)",""
"Candi-Net+BERT (ensemble)","Candi-Net+BERT (ensemble)",""
"AoA + DA + BERT (single model)","AoA + DA + BERT (single model)",""
"Candi-Net+BERT (single model)","Candi-Net+BERT (single model)",""
"Bert-raw (single model)","Bert-raw (single model)",""
"BERT + NeurQuRI (single model)","BERT + NeurQuRI (single model)",""
"PwP+BERT (single model)","PwP+BERT (single model)",""
"NEXYS_BASE (single model)","NEXYS_BASE (single model)",""
"L6Net + BERT (single model)","L6Net + BERT (single model)",""
"Bert-raw-full (single model)","Bert-raw-full (single model)",""
"BERT+AC(single model)","BERT+AC(single model)",""
"SLQA+BERT (single model)","SLQA+BERT (single model)",""
"synss (single model )","synss (single model )",""
"ARSG-BERT (single model)","ARSG-BERT (single model)",""
"{Anonymous} (single model)","{Anonymous} (single model)",""
"YARCS (ensemble)","YARCS (ensemble)",""
"RNANetSimple (ensemble)","RNANetSimple (ensemble)",""
"Reinforced Mnemonic Reader + Answer Verifier (single model)","Reinforced Mnemonic Reader + Answer Verifier (single model)","Read + Verify: Machine Reading Comprehension with Unanswerable Questions"
"BERT+Answer Verifier (single model)","BERT+Answer Verifier (single model)",""
"Unet (ensemble)","Unet (ensemble)","U-Net: Machine Reading Comprehension with Unanswerable Questions"
"RNANetSimple (single model)","RNANetSimple (single model)",""
"FusionNet++ (ensemble)","FusionNet++ (ensemble)","FusionNet: Fusing via Fully-Aware Attention with Application to Machine Comprehension"
"Multi-Level Attention Fusion(MLAF) (single model)","Multi-Level Attention Fusion(MLAF) (single model)",""
"Unet (single model)","Unet (single model)",""
"DocQA + NeurQuRI (single model)","DocQA + NeurQuRI (single model)",""
"ARRR (single model)","ARRR (single model)",""
"KACTEIL-MRC(GFN-Net) (single model)","KACTEIL-MRC(GFN-Net) (single model)",""
"EBB-Net (single model)","EBB-Net (single model)",""
"KakaoNet2 (single model)","KakaoNet2 (single model)",""
"abcNet (single model)","abcNet (single model)",""
"BSAE AddText (single model)","BSAE AddText (single model)",""
"BiDAF + Self Attention (single model)","BiDAF + Self Attention (single model)",""
"BiDAF-No-Answer (single model)","BiDAF-No-Answer (single model)",""
"Tree-LSTM + BiDAF + ELMo (single model)","Tree-LSTM + BiDAF + ELMo (single model)",""
"MemoReader","MemoReader","MemoReader: Large-Scale Reading Comprehension through Neural Memory Controller"
"S-Norm","S-Norm","Simple and Effective Multi-Paragraph Reading Comprehension"
"Reading Twice for NLU","Reading Twice for NLU","Dynamic Integration of Background Knowledge in Neural NLU Systems"
"Mnemonic Reader","Mnemonic Reader","Reinforced Mnemonic Reader for Machine Reading Comprehension"
"MEMEN","MEMEN","MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension"
"GA+MAGE (32)","GA+MAGE (32)","Linguistic Knowledge as Memory for Recurrent Neural Networks"
"GA Reader","GA Reader","Gated-Attention Readers for Text Comprehension"
"Attentive + relabling + ensemble","Attentive + relabling + ensemble","A Thorough Examination of the CNNDaily Mail Reading Comprehension Task"
"AIA","AIA","Iterative Alternating Neural Attention for Machine Reading"
"AS Reader (ensemble model)","AS Reader (ensemble model)","Text Understanding with the Attention Sum Reader Network"
"ReasoNet","ReasoNet","ReasoNet: Learning to Stop Reading in Machine Comprehension"
"AoA Reader","AoA Reader","Attention-over-Attention Neural Networks for Reading Comprehension"
"EpiReader","EpiReader","Natural Language Comprehension with the EpiReader"
"Dynamic Entity Repres. + w2v","Dynamic Entity Repres. + w2v","Dynamic Entity Representation with Max-pooling Improves Machine Reading"
"AttentiveReader + bilinear attention","AttentiveReader + bilinear attention","A Thorough Examination of the CNNDaily Mail Reading Comprehension Task"
"AS Reader (single model)","AS Reader (single model)","Text Understanding with the Attention Sum Reader Network"
"MemNNs (ensemble)","MemNNs (ensemble)","Teaching Machines to Read and Comprehend"
"Classifier","Classifier","A Thorough Examination of the CNNDaily Mail Reading Comprehension Task"
"Impatient Reader","Impatient Reader","Teaching Machines to Read and Comprehend"
"Attentive Reader","Attentive Reader","Teaching Machines to Read and Comprehend"
"IR Baseline","IR Baseline","Tell Me Why: Using Question Answering as Distant Supervision for Answer Justification"
"Our Approach wo IR","Our Approach wo IR","Tell Me Why: Using Question Answering as Distant Supervision for Answer Justification"
"IR++","IR++","Tell Me Why: Using Question Answering as Distant Supervision for Answer Justification"
"OUR APPROACH","OUR APPROACH","Tell Me Why: Using Question Answering as Distant Supervision for Answer Justification"
"WebQA","WebQA","Evaluating Semantic Parsing against a Simple Web-based Question Answering Model"
"NSE","NSE","Gated-Attention Readers for Text Comprehension"
"GA + feature + fix L(w)","GA + feature + fix L(w)","Gated-Attention Readers for Text Comprehension"
"AoA reader","AoA reader","Attention-over-Attention Neural Networks for Reading Comprehension"
"GA reader","GA reader","Gated-Attention Readers for Text Comprehension"
"AS reader (avg)","AS reader (avg)","Text Understanding with the Attention Sum Reader Network"
"AS reader (greedy)","AS reader (greedy)","Text Understanding with the Attention Sum Reader Network"
"ConZNet","ConZNet","Cut to the Chase: A Context Zoom-in Network for Reading Comprehension"
"BiAttention + DCU-LSTM","BiAttention + DCU-LSTM","Multi-Granular Sequence Encoding via Dilated Compositional Units for Reading Comprehension"
"PWIM","PWIM","Pairwise Word Interaction Modeling with Deep Neural Networks for Semantic Similarity Measurement"
"Key-Value Memory Network","Key-Value Memory Network","Key-Value Memory Networks for Directly Reading Documents"
"LDC","LDC","Sentence Similarity Learning by Lexical Decomposition and Composition"
"PairwiseRank +  Multi-Perspective CNN","PairwiseRank +  Multi-Perspective CNN","Noise Contrastive Estimation and Negative Sampling for Conditional Models: Consistency and Statistical Efficiency"
"MMA-NSE attention","MMA-NSE attention","Neural Semantic Encoders"
"BiAttention MRU","BiAttention MRU","Multi-range Reasoning for Machine Comprehension"
"MINIMAL(Dyn)","MINIMAL(Dyn)","Efficient and Robust Question Answering from Minimal Context over Documents"
"MultiObjectiveOptimization","MultiObjectiveOptimization","Multi-Task Learning as Multi-Objective Optimization"
"MGDA-UB","MGDA-UB","Multi-Task Learning as Multi-Objective Optimization"
"LFB NL","LFB NL","Long-Term Feature Banks for Detailed Video Understanding"
"NL I3D + GCN + Resnet-101","NL I3D + GCN + Resnet-101","Videos as Space-Time Region Graphs"
"CoViAR+optical flow","CoViAR+optical flow","Compressed Video Action Recognition"
"MultiScale TRN","MultiScale TRN","Temporal Relational Reasoning in Videos"
"ESPCN","ESPCN","Real-Time Single Image and Video Super-Resolution Using an Efficient Sub-Pixel Convolutional Neural Network"
"SRCNN","SRCNN","Image Super-Resolution Using Deep Convolutional Networks"
"bicubic","bicubic","Real-Time Single Image and Video Super-Resolution Using an Efficient Sub-Pixel Convolutional Neural Network"
"FRVSR","FRVSR","Frame-Recurrent Video Super-Resolution"
"SOF-VSR","SOF-VSR","Learning for Video Super-Resolution through HR Optical Flow Estimation"
"VESPCN","VESPCN","Real-Time Video Super-Resolution with Spatio-Temporal Networks and Motion Compensation"
"bicubic","bicubic","Real-Time Video Super-Resolution with Spatio-Temporal Networks and Motion Compensation"
"SiamMask","SiamMask","Fast Online Object Tracking and Segmentation: A Unifying Approach"
"Parameter-Free Spatial Attention","Parameter-Free Spatial Attention","Parameter-Free Spatial Attention Network for Person Re-Identification"
"MGN","MGN","Learning Discriminative Features with Multiple Granularities for Person Re-Identification"
"PCB (RPP)","PCB (RPP)","Beyond Part Models: Person Retrieval with Refined Part Pooling (and a Strong Convolutional Baseline)"
"PCB (UP)","PCB (UP)","Beyond Part Models: Person Retrieval with Refined Part Pooling (and a Strong Convolutional Baseline)"
"SVDNet + Random Erasing","SVDNet + Random Erasing","Random Erasing Data Augmentation"
"Incremental Learning","Incremental Learning","Incremental Learning in Person Re-Identification"
"IDE* + CamStyle + Random Erasing","IDE* + CamStyle + Random Erasing","Camera Style Adaptation for Person Re-identification"
"SVDNet","SVDNet","SVDNet for Pedestrian Retrieval"
"TriNet + Random Erasing","TriNet + Random Erasing","Random Erasing Data Augmentation"
"TriNet","TriNet","In Defense of the Triplet Loss for Person Re-Identification"
"IDE* + CamStyle","IDE* + CamStyle","Camera Style Adaptation for Person Re-identification"
"APR","APR","Improving Person Re-identification by Attribute and Identity Learning"
"IDE*","IDE*","Camera Style Adaptation for Person Re-identification"
"PAN","PAN","Pedestrian Alignment Network for Large-scale Person Re-identification"
"OIM","OIM","Joint Detection and Identification Feature Learning for Person Search"
"GAN","GAN","Unlabeled Samples Generated by GAN Improve the Person Re-identification Baseline in vitro"
"IDE","IDE","Person Re-identification: Past, Present and Future"
"LOMO + XQDA","LOMO + XQDA","Person Re-identification by Local Maximal Occurrence Representation and Metric Learning"
"BOW","BOW","Scalable Person Re-Identification: A Benchmark"
"PCB + RPP","PCB + RPP","Beyond Part Models: Person Retrieval with Refined Part Pooling (and a Strong Convolutional Baseline)"
"PCB","PCB","Beyond Part Models: Person Retrieval with Refined Part Pooling (and a Strong Convolutional Baseline)"
"GLAD*","GLAD*","GLAD: Global-Local-Alignment Descriptor for Pedestrian Retrieval"
"PartLoss","PartLoss","Deep Representation Learning with Part Loss for Person Re-Identification"
"SSM","SSM","Scalable Person Re-identification on Supervised Smoothed Manifold"
"DJL","DJL","Person Re-Identification by Deep Joint Learning of Multi-Loss Classification"
"Re-rank","Re-rank","Re-ranking Person Re-identification with k-reciprocal Encoding"
"PDF","PDF","Pose-driven Deep Convolutional Model for Person Re-identification"
"DF","DF","Deeply-Learned Part-Aligned Representations for Person Re-Identification"
"DLCE","DLCE","A Discriminatively Learned CNN Embedding for Person Re-identification"
"MSCAN","MSCAN","Learning Deep Context-aware Features over Body and Latent Parts for Person Re-identification"
"DNS","DNS","Learning a Discriminative Null Space for Person Re-identification"
"StackGAN-v2","StackGAN-v2","StackGAN++: Realistic Image Synthesis with Stacked Generative Adversarial Networks"
"StackGAN-v1 ","StackGAN-v1 ","StackGAN++: Realistic Image Synthesis with Stacked Generative Adversarial Networks"
"AttnGAN","AttnGAN","AttnGAN: Fine-Grained Text to Image Generation with Attentional Generative Adversarial Networks"
"AttnGAN + OP","AttnGAN + OP","Generating Multiple Objects at Spatially Distinct Locations"
"StackGAN + OP","StackGAN + OP","Generating Multiple Objects at Spatially Distinct Locations"
"GAWWN","GAWWN","Learning What and Where to Draw"
"AttnGAN+OP","AttnGAN+OP","Generating Images from Captions with Attention"
"StackGAN+OP","StackGAN+OP","Generating Images from Captions with Attention"
"BigGAN-deep","BigGAN-deep","Large Scale GAN Training for High Fidelity Natural Image Synthesis"
"BigGAN","BigGAN","Large Scale GAN Training for High Fidelity Natural Image Synthesis"
"Self-attention","Self-attention","Self-Attention Generative Adversarial Networks"
"Projection Discriminator","Projection Discriminator","cGANs with Projection Discriminator"
"AC-GAN","AC-GAN","Conditional Image Synthesis With Auxiliary Classifier GANs"
"Splitting GAN","Splitting GAN","Class-Splitting Generative Adversarial Networks"
"WGAN-GP","WGAN-GP","Improved Training of Wasserstein GANs"
"SGAN","SGAN","Stacked Generative Adversarial Networks"
"Improved GAN","Improved GAN","Improved Techniques for Training GANs"
"DCGAN","DCGAN","Unsupervised Representation Learning with Deep Convolutional Generative Adversarial Networks"
"SteinGAN","SteinGAN","Learning to Draw Samples: With Application to Amortized MLE for Generative Adversarial Learning"
"MUNIT","MUNIT","Multimodal Unsupervised Image-to-Image Translation"
"UNIT","UNIT","Unsupervised Image-to-Image Translation Networks"
"CycleGAN","CycleGAN","Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks"
"BicycleGAN","BicycleGAN","Toward Multimodal Image-to-Image Translation"
"Domain adaptation + ResNet-101","Domain adaptation + ResNet-101","Diverse Image-to-Image Translation via Disentangled Representations"
"Single-level Adaptation","Single-level Adaptation","Learning to Adapt Structured Output Space for Semantic Segmentation"
"CyCADA pixel+feat","CyCADA pixel+feat","CyCADA: Cycle-Consistent Adversarial Domain Adaptation"
"ROAD","ROAD","ROAD: Reality Oriented Adaptation for Semantic Segmentation of Urban Scenes"
"superpixel + color constancy","superpixel + color constancy","A Curriculum Domain Adaptation Approach to the Semantic Segmentation of Urban Scenes"
"CDA","CDA","Curriculum Domain Adaptation for Semantic Segmentation of Urban Scenes"
"FCNs in the wild","FCNs in the wild","FCNs in the Wild: Pixel-level Adversarial and Constraint-based Adaptation"
"DTN","DTN","Unsupervised Cross-Domain Image Generation"
"ADDA","ADDA","Adversarial Discriminative Domain Adaptation"
"DANN","DANN","Unsupervised Domain Adaptation by Backpropagation"
"CyCADA","CyCADA","CyCADA: Cycle-Consistent Adversarial Domain Adaptation"
"StarGAN","StarGAN","StarGAN: Unified Generative Adversarial Networks for Multi-Domain Image-to-Image Translation"
"DIA","DIA","Deep Identity-aware Transfer of Facial Attributes"
"IcGAN","IcGAN","Invertible Conditional GANs for image editing"
"cGAN","cGAN","Image-to-Image Translation with Conditional Adversarial Networks"
"DualGAN","DualGAN","DualGAN: Unsupervised Dual Learning for Image-to-Image Translation"
"pix2pix","pix2pix","Image-to-Image Translation with Conditional Adversarial Networks"
"CoGAN","CoGAN","Coupled Generative Adversarial Networks"
"SimGAN","SimGAN","Learning from Simulated and Unsupervised Images through Adversarial Training"
"BiGAN","BiGAN","Adversarially Learned Inference"
"SPADE","SPADE","Semantic Image Synthesis with Spatially-Adaptive Normalization"
"pix2pixHD","pix2pixHD","High-Resolution Image Synthesis and Semantic Manipulation with Conditional GANs"
"CRN","CRN","Photographic Image Synthesis with Cascaded Refinement Networks"
"SIMS","SIMS","Semi-parametric Image Synthesis"
"PGGAN","PGGAN","Progressive Growing of GANs for Improved Quality, Stability, and Variation"
"MMD-GAN-rep","MMD-GAN-rep","Improving MMD-GAN Training with Repulsive Loss Function"
"SN-GANs","SN-GANs","Spectral Normalization for Generative Adversarial Networks"
"MSG-GAN","MSG-GAN","MSG-GAN: Multi-Scale Gradient GAN for Stable Image Synthesis"
"SN-SMMDGAN","SN-SMMDGAN","On gradient regularizers for MMD GANs"
"LR-GAN","LR-GAN","LR-GAN: Layered Recursive Generative Adversarial Networks for Image Generation"
"CEGAN-Ent-VI","CEGAN-Ent-VI","Calibrating Energy-based Generative Adversarial Networks"
"GMAN","GMAN","Generative Multi-Adversarial Networks"
"BEGAN","BEGAN","BEGAN: Boundary Equilibrium Generative Adversarial Networks"
"ALI","ALI","Adversarially Learned Inference"
"NICE","NICE","NICE: Non-linear Independent Components Estimation"
"DRAW","DRAW","DRAW: A Recurrent Neural Network For Image Generation"
"Real NVP","Real NVP","Density estimation using Real NVP"
"VAE with IAF","VAE with IAF","Improved Variational Inference with Inverse Autoregressive Flow"
"PixelRNN","PixelRNN","Density estimation using Real NVP"
"PixelCNN++","PixelCNN++",""
"Image Transformer","Image Transformer","Image Transformer"
"WGAN-GP + TT Update Rule","WGAN-GP + TT Update Rule","GANs Trained by a Two Time-Scale Update Rule Converge to a Local Nash Equilibrium"
"RSGAN-GP","RSGAN-GP","The relativistic discriminator: a key element missing from standard GAN"
"FOGAN","FOGAN","First Order Generative Adversarial Networks"
"MSGAN","MSGAN","Mode Seeking Generative Adversarial Networks for Diverse Image Synthesis"
"COCO-GAN","COCO-GAN","COCO-GAN: Generation by Parts via Conditional Coordinating"
"RaSGAN","RaSGAN","The relativistic discriminator: a key element missing from standard GAN"
"StyleGAN","StyleGAN","A Style-Based Generator Architecture for Generative Adversarial Networks"
"CRIM","CRIM","CRIM at SemEval-2018 Task 9: A Hybrid Approach to Hypernym Discovery"
"MFH","MFH",""
"300-sparsans","300-sparsans","300-sparsans at SemEval-2018 Task 9: Hypernymy as interaction of sparse attributes"
"vTE","vTE","Supervised Distributional Hypernym Discovery via Domain Adaptation"
"EXPR","EXPR","EXPR at SemEval-2018 Task 9: A Combined Approach for Hypernym Discovery"
"SJTU BCMI","SJTU BCMI","SJTU-NLP at SemEval-2018 Task 9: Neural Hypernym Discovery with Term Embeddings"
"ADAPT","ADAPT","ADAPT at SemEval-2018 Task 9: Skip-Gram Word Embeddings for Unsupervised Hypernym Discovery in Specialised Corpora"
"balAPInc","balAPInc","Hypernyms under Siege: Linguistically-motivated Artillery for Hypernymy Detection"
"NLP_HZ","NLP_HZ","NLP_HZ at SemEval-2018 Task 9: a Nearest Neighbor Approach"
"Apollo","Apollo","Apollo at SemEval-2018 Task 9: Detecting Hypernymy Relations Using Syntactic Dependencies"
"CRF-ASN","CRF-ASN","Dialogue Act Recognition via CRF-Attentive Structured Network"
"Bi-LSTM-CRF","Bi-LSTM-CRF","Dialogue Act Sequence Labeling using Hierarchical encoder with CRF"
"RNN with 3 utterances in context","RNN with 3 utterances in context","A Context-based Approach for Dialogue Act Recognition using Simple Recurrent Neural Networks"
"RNN","RNN",""
"Neural belief tracker","Neural belief tracker","Neural Belief Tracker: Data-Driven Dialogue State Tracking"
"Liu et al.","Liu et al.","Dialogue Learning with Human Teaching and Feedback in End-to-End Trainable Task-Oriented Dialogue Systems"
"Zhong et al.","Zhong et al.","Global-Locally Self-Attentive Dialogue State Tracker"
"GATE","GATE",""
"Adversarial Bi-LSTM","Adversarial Bi-LSTM","Robust Multilingual Part-of-Speech Tagging via Adversarial Training"
"Bi-LSTM","Bi-LSTM","Multilingual Part-of-Speech Tagging with Bidirectional Long Short-Term Memory Models and Auxiliary Loss"
"Joint Bi-LSTM","Joint Bi-LSTM","A Novel Neural Network Model for Joint POS Tagging and Graph-based Dependency Parsing"
"Meta BiLSTM","Meta BiLSTM","Morphosyntactic Tagging with a Meta-BiLSTM Model over Context Sensitive Token Encodings"
"Char Bi-LSTM","Char Bi-LSTM","Finding Function in Form: Compositional Character Models for Open Vocabulary Word Representation"
"Feed Forward","Feed Forward","Supertagging With LSTMs"
"Bi-LSTM","Bi-LSTM","Finding Function in Form: Compositional Character Models for Open Vocabulary Word Representation"
"Deep Speech 2","Deep Speech 2","Deep Speech 2: End-to-End Speech Recognition in English and Mandarin"
"Deep Speech","Deep Speech","Deep Speech: Scaling up end-to-end speech recognition"
"HMM-TDNN(LFMMI) + LSTMLM + NN-GEV","HMM-TDNN(LFMMI) + LSTMLM + NN-GEV","Building state-of-the-art distant speech recognition using the CHiME-4 challenge with a setup of speech enhancement baseline"
"CNN + Bi-RNN + CTC (speech to letters)","CNN + Bi-RNN + CTC (speech to letters)","Deep Speech: Scaling up end-to-end speech recognition"
"HMM-TDNN(LFMMI) + LSTMLM ","HMM-TDNN(LFMMI) + LSTMLM ","Building state-of-the-art distant speech recognition using the CHiME-4 challenge with a setup of speech enhancement baseline"
"Li-GRU","Li-GRU","The PyTorch-Kaldi Speech Recognition Toolkit"
"tdnn + chain + rnnlm rescoring","tdnn + chain + rnnlm rescoring","Neural Network Language Modeling with Letter-based Features and Importance Sampling"
"TDNN + pNorm + speed updown speech","TDNN + pNorm + speed updown speech",""
"HMM-DNN + pNorm*","HMM-DNN + pNorm*",""
"Snips","Snips","Snips Voice Platform: an embedded Spoken Language Understanding system for private-by-design voice interfaces"
"HMM-(SAT)GMM","HMM-(SAT)GMM",""
"ResNet + BiLSTMs acoustic model","ResNet + BiLSTMs acoustic model","English Conversational Telephone Speech Recognition by Humans and Machines"
"Microsoft 2016b","Microsoft 2016b","Achieving Human Parity in Conversational Speech Recognition"
"Microsoft 2016","Microsoft 2016","The Microsoft 2016 Conversational Speech Recognition System"
"VGGResnetLACEBiLSTM acoustic model trained on SWB+Fisher+CH, N-gram + RNNLM language model trained on Switchboard+Fisher+Gigaword+Broadcast","VGGResnetLACEBiLSTM acoustic model trained on SWB+Fisher+CH, N-gram + RNNLM language model trained on Switchboard+Fisher+Gigaword+Broadcast","The Microsoft 2016 Conversational Speech Recognition System"
"RNN + VGG + LSTM acoustic model trained on SWB+Fisher+CH, N-gram + model M + NNLM language model","RNN + VGG + LSTM acoustic model trained on SWB+Fisher+CH, N-gram + model M + NNLM language model","The IBM 2016 English Conversational Telephone Speech Recognition System"
"CNN-LSTM","CNN-LSTM","Achieving Human Parity in Conversational Speech Recognition"
"IBM 2016","IBM 2016","The IBM 2016 English Conversational Telephone Speech Recognition System"
"RNNLM","RNNLM","The Microsoft 2016 Conversational Speech Recognition System"
"IBM 2015","IBM 2015","The IBM 2015 English Conversational Telephone Speech Recognition System"
"HMM-BLSTM trained with MMI + data augmentation (speed) + iVectors + 3 regularizations + Fisher","HMM-BLSTM trained with MMI + data augmentation (speed) + iVectors + 3 regularizations + Fisher",""
"HMM-TDNN trained with MMI + data augmentation (speed) + iVectors + 3 regularizations + Fisher (10%  15.1% respectively trained on SWBD only)","HMM-TDNN trained with MMI + data augmentation (speed) + iVectors + 3 regularizations + Fisher (10%  15.1% respectively trained on SWBD only)",""
"CNN on MFSCfbanks + 1 non-conv layer for FMLLRI-Vectors concatenated in a DNN","CNN on MFSCfbanks + 1 non-conv layer for FMLLRI-Vectors concatenated in a DNN",""
"HMM-TDNN + iVectors","HMM-TDNN + iVectors",""
"Deep CNN (10 conv, 4 FC layers), multi-scale feature maps","Deep CNN (10 conv, 4 FC layers), multi-scale feature maps","Very Deep Multilingual Convolutional Neural Networks for LVCSR"
"HMM-DNN +sMBR","HMM-DNN +sMBR",""
"DNN sMBR","DNN sMBR",""
