"name","link","description","date"
"Sentic LSTM + TA + SA","https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/viewPaper/16541","Targeted Aspect-Based Sentiment Analysis via Embedding Commonsense Knowledge into an Attentive LSTM","2018-04-01"
"LSTM-LOC","http://arxiv.org/abs/1610.03771v1","SentiHood: Targeted Aspect Based Sentiment Analysis Dataset for Urban Neighbourhoods","2016-10-12"
"HAPN","https://aclanthology.coli.uni-saarland.de/papers/K18-1018/k18-1018","Hierarchical Attention Based Position-Aware Network for Aspect-Level Sentiment Analysis","2018-10-01"
"SA-LSTM-P","https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/viewPaper/17327","Learning Latent Opinions for Aspect-Level Sentiment Classification","2018-04-01"
"MGAN","https://arxiv.org/abs/1811.10999","Exploiting Coarse-to-Fine Task Transfer for Aspect-level Sentiment Classification","2018-11-16"
"LCR-Rot","http://arxiv.org/abs/1802.00892v1","Left-Center-Right Separated Neural Network for Aspect-based Sentiment Analysis with Rotatory Attention","2018-02-03"
"BBLSTM-SL","https://aaai.org/ocs/index.php/FLAIRS/FLAIRS18/paper/view/17646","Aspect-Based Sentiment Analysis Using Bitmask Bidirectional Long Short Term Memory Networks","2018-05-01"
"MGAN","https://aclanthology.coli.uni-saarland.de/papers/D18-1380/d18-1380","Multi-grained Attention Network for Aspect-Level Sentiment Classification","2018-10-01"
"AOA","http://arxiv.org/abs/1804.06536v1","Aspect Level Sentiment Classification with Attention-over-Attention Neural Networks","2018-04-18"
"PBAN","https://aclanthology.coli.uni-saarland.de/papers/C18-1066/c18-1066","A Position-aware Bidirectional Attention Network for Aspect-level Sentiment Analysis","2018-08-01"
"BILSTM-ATT-G (TSSVAE)","http://arxiv.org/abs/1810.10437v2","Variational Semi-supervised Aspect-term Sentiment Analysis via Transformer","2018-10-24"
"AEN","http://arxiv.org/abs/1902.09314v2","Attentional Encoder Network for Targeted Sentiment Classification","2019-02-25"
"MemNet","http://arxiv.org/abs/1605.08900v2","Aspect Level Sentiment Classification with Deep Memory Network","2016-05-28"
"TNet","http://arxiv.org/abs/1805.01086v1","Transformation Networks for Target-Oriented Sentiment Classification","2018-05-03"
"LSTM+SynATT+TarRep","https://aclanthology.coli.uni-saarland.de/papers/C18-1096/c18-1096","Effective Attention Modeling for Aspect-Level Sentiment Classification","2018-08-01"
"RAM","https://aclanthology.coli.uni-saarland.de/papers/D17-1047/d17-1047","Recurrent Attention Network on Memory for Aspect Sentiment Analysis","2017-09-01"
"IARM","https://aclanthology.coli.uni-saarland.de/papers/D18-1377/d18-1377","IARM: Inter-Aspect Relation Modeling with Memory Networks in Aspect-Based Sentiment Analysis","2018-10-01"
"PF-CNN","https://aclanthology.coli.uni-saarland.de/papers/D18-1136/d18-1136","Parameterized Convolutional Neural Networks for Aspect Level Sentiment Classification","2018-10-01"
"PRET+MULT","http://arxiv.org/abs/1806.04346v1","Exploiting Document Knowledge for Aspect-level Sentiment Classification","2018-06-12"
"JCI (hops)","https://aclanthology.coli.uni-saarland.de/papers/P18-1088/p18-1088","Target-Sensitive Memory Networks for Aspect Sentiment Classification","2018-07-01"
"IAN","http://arxiv.org/abs/1709.00893v1","Interactive Attention Networks for Aspect-Level Sentiment Classification","2017-09-04"
"GCAE","http://arxiv.org/abs/1805.07043v1","Aspect Based Sentiment Analysis with Gated Convolutional Networks","2018-05-18"
"ATAE-LSTM ","https://aclanthology.coli.uni-saarland.de/papers/D16-1058/d16-1058","Attention-based LSTM for Aspect-level Sentiment Classification","2016-11-01"
"NP (hops) ","https://aclanthology.coli.uni-saarland.de/papers/P18-1088/p18-1088","Target-Sensitive Memory Networks for Aspect Sentiment Classification","2018-07-01"
"TD-LSTM","http://arxiv.org/abs/1512.01100v2","Effective LSTMs for Target-Dependent Sentiment Classification","2015-12-03"
"EDD-LG (shared)","https://aclanthology.coli.uni-saarland.de/papers/C18-1230/c18-1230","Learning Semantic Sentence Embeddings using Sequential Pair-wise Discriminator","2018-08-01"
"Suffix BiLSTM","http://arxiv.org/abs/1805.07340v2","Improved Sentence Modeling using Suffix Bidirectional LSTM","2018-05-18"
"BCN+ELMo","http://arxiv.org/abs/1802.05365v2","Deep contextualized word representations","2018-02-15"
"BCN+Char+CoVe","http://arxiv.org/abs/1708.00107v2","Learned in Translation: Contextualized Word Vectors","2017-08-01"
"CNN-RNF-LSTM","http://arxiv.org/abs/1808.09315v1","Convolutional Neural Networks with Recurrent Neural Filters","2018-08-28"
"MEAN","http://arxiv.org/abs/1807.04990v1","A Multi-sentiment-resource Enhanced Attention Network for Sentiment Classification","2018-07-13"
"Bi-LSTM+2+5","http://arxiv.org/abs/1812.01527v1","Leveraging Multi-grained Sentiment Lexicon Information for Neural Sequence Models","2018-12-04"
"Epic","https://aclanthology.info/papers/P14-1022/p14-1022","Less Grammar, More Features","2014-06-01"
"RNN-Capsule","https://ntunlpsg.github.io/publication/2018_2_ai/","Sentiment Analysis by Capsules","2018-02-01"
"RNTN","https://aclanthology.info/papers/D13-1170/d13-1170","Recursive Deep Models for Semantic Compositionality Over a Sentiment Treebank","2013-10-01"
"GRU-RNN-WORD2VEC","http://arxiv.org/abs/1702.01417v2","All-but-the-Top: Simple and Effective Postprocessing for Word Representations","2017-02-05"
"Joined Model Multi-tasking","https://aclanthology.coli.uni-saarland.de/papers/W17-5535/w17-5535","Exploring Joint Neural Model for Sentence Level Discourse Parsing and Sentiment Analysis","2017-08-01"
"GloVe+Emo2Vec","http://arxiv.org/abs/1809.04505v1","Emo2Vec: Learning Generalized Emotion Representation by Multi-task Training","2018-09-12"
"Emo2Vec","http://arxiv.org/abs/1809.04505v1","Emo2Vec: Learning Generalized Emotion Representation by Multi-task Training","2018-09-12"
"BiLSTM generalized pooling","http://arxiv.org/abs/1806.09828v1","Enhancing Sentence Embedding with Generalized Pooling","2018-06-26"
"SWEM-hier","http://arxiv.org/abs/1805.09843v1","Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms","2018-05-24"
"CNN Large","http://arxiv.org/abs/1903.07785v1","Cloze-driven Pretraining of Self-attention Networks","2019-03-19"
"Block-sparse LSTM","https://blog.openai.com/block-sparse-gpu-kernels/","GPU Kernels for Block-Sparse Weights","2017-12-01"
"bmLSTM","http://arxiv.org/abs/1704.01444v2","Learning to Generate Reviews and Discovering Sentiment","2017-04-05"
"CNN","http://arxiv.org/abs/1707.01780v3","On the Role of Text Preprocessing in Neural Network Architectures: An Evaluation Study on Text Categorization and Sentiment Analysis","2017-07-06"
"Neural Semantic Encoder","http://arxiv.org/abs/1607.04315v3","Neural Semantic Encoders","2016-07-14"
"BLSTM-2DCNN","http://arxiv.org/abs/1611.06639v1","Text Classification Improved by Integrating Bidirectional LSTM with Two-dimensional Max Pooling","2016-11-21"
"Standard DR-AGG","http://arxiv.org/abs/1806.01501v1","Information Aggregation via Dynamic Routing for Sequence Encoding","2018-06-05"
"USE_T+CNN (lrn w.e.) ","http://arxiv.org/abs/1803.11175v2","Universal Sentence Encoder","2018-03-29"
"Reverse DR-AGG","http://arxiv.org/abs/1806.01501v1","Information Aggregation via Dynamic Routing for Sequence Encoding","2018-06-05"
"DC-MCNN","https://aclanthology.coli.uni-saarland.de/papers/P18-1235/p18-1235","A Helping Hand: Transfer Learning for Deep Sentiment Analysis","2018-07-01"
"ToWE-CBOW","https://aclanthology.coli.uni-saarland.de/papers/C18-1172/c18-1172","Task-oriented Word Embedding for Text Classification","2018-08-01"
"LSTMs+CNNs ensemble with multiple conv. ops ","http://arxiv.org/abs/1704.06125v1","BB_twtr at SemEval-2017 Task 4: Twitter Sentiment Analysis with CNNs and LSTMs","2017-04-20"
"Deep Bi-LSTM+attention","https://aclanthology.coli.uni-saarland.de/papers/S17-2126/s17-2126","DataStories at SemEval-2017 Task 4: Deep LSTM with Attention for Message-level and Topic-based Sentiment Analysis","2017-08-01"
"oh-LSTM","http://arxiv.org/abs/1602.02373v2","Supervised and Semi-Supervised Text Categorization using LSTM for Region Embeddings","2016-02-07"
"Virtual adversarial training","http://arxiv.org/abs/1605.07725v3","Adversarial Training Methods for Semi-Supervised Text Classification","2016-05-25"
"seq2-bown-CNN","http://arxiv.org/abs/1412.1058v2","Effective Use of Word Order for Text Categorization with Convolutional Neural Networks","2014-12-01"
"CNN+LSTM","http://arxiv.org/abs/1707.01780v3","On the Role of Text Preprocessing in Neural Network Architectures: An Evaluation Study on Text Categorization and Sentiment Analysis","2017-07-06"
"USE_T+CNN ","http://arxiv.org/abs/1803.11175v2","Universal Sentence Encoder","2018-03-29"
"USE_T+DAN (w2v w.e.) ","http://arxiv.org/abs/1803.11175v2","Universal Sentence Encoder","2018-03-29"
"SRNN","http://arxiv.org/abs/1807.02291v1","Sliced Recurrent Neural Networks","2018-07-06"
"Gumbel+bi-leaf-RNN","http://arxiv.org/abs/1808.09644v1","On Tree-Based Neural Sentence Modeling","2018-08-29"
"Distributional Correspondence Indexing","http://arxiv.org/abs/1810.09311v1","Revisiting Distributional Correspondence Indexing: A Python Reimplementation and New Experiments","2018-10-19"
"Multi-task tri-training","http://arxiv.org/abs/1804.09530v1","Strong Baselines for Neural Semi-supervised Learning under Domain Shift","2018-04-25"
"VFAE","http://arxiv.org/abs/1511.00830v6","The Variational Fair Autoencoder","2015-11-03"
"Asymmetric tri-training","http://arxiv.org/abs/1702.08400v3","Asymmetric Tri-training for Unsupervised Domain Adaptation","2017-02-27"
"DANN","http://arxiv.org/abs/1505.07818v4","Domain-Adversarial Training of Neural Networks","2015-05-28"
"USE_T+CNN (w2v w.e.) ","http://arxiv.org/abs/1803.11175v2","Universal Sentence Encoder","2018-03-29"
"jPTDP","http://arxiv.org/abs/1807.03955v2","An improved neural network model for joint POS tagging and dependency parsing","2018-07-11"
"Andor et al.","http://arxiv.org/abs/1603.06042v2","Globally Normalized Transition-Based Neural Networks","2016-03-19"
"Weiss et al.","http://arxiv.org/abs/1506.06158v1","Structured Training for Neural Network Transition-Based Parsing","2015-06-19"
"Deep Biaffine","http://arxiv.org/abs/1611.01734v3","Deep Biaffine Attention for Neural Dependency Parsing","2016-11-06"
"Distilled neural FOG","http://arxiv.org/abs/1609.07561v1","Distilling an Ensemble of Greedy Dependency Parsers into One MST Parser","2016-09-24"
"BIST transition-based parser","http://arxiv.org/abs/1603.04351v3","Simple and Accurate Dependency Parsing Using Bidirectional LSTM Feature Representations","2016-03-14"
"Arc-hybrid","http://arxiv.org/abs/1603.03793v2","Training with Exploration Improves a Greedy Stack-LSTM Parser","2016-03-11"
"BIST graph-based parser","http://arxiv.org/abs/1603.04351v3","Simple and Accurate Dependency Parsing Using Bidirectional LSTM Feature Representations","2016-03-14"
"BiLSTM-CRF","http://arxiv.org/abs/1808.03731v2","From POS tagging to dependency parsing for biomedical event extraction","2018-08-11"
"BiLSTM-JOINT","http://arxiv.org/abs/1811.05949v1","Jointly Learning to Label Sentences and Tokens","2018-11-14"
"Ann+PAT+MT","http://arxiv.org/abs/1707.05236v1","Artificial Error Generation with Machine Translation and Syntactic Patterns","2017-07-17"
"Bi-LSTM + LMcost","http://arxiv.org/abs/1704.07156v1","Semi-supervised Multitask Learning for Sequence Labeling","2017-04-24"
"Bi-LSTM + err POS GR ","http://arxiv.org/abs/1707.05227v1","Auxiliary Objectives for Neural Error Detection Models","2017-07-17"
"Bi-LSTM + charattn","http://arxiv.org/abs/1611.04361v1","Attending to Characters in Neural Sequence Labeling Models","2016-11-14"
"Bi-LSTM","http://arxiv.org/abs/1607.06153v1","Compositional Sequence Labeling Models for Error Detection in Learner Writing","2016-07-20"
"BiLSTM-JOINT (trained on FCE)","http://arxiv.org/abs/1811.05949v1","Jointly Learning to Label Sentences and Tokens","2018-11-14"
"Bi-LSTM + POS (unrestricted data)","http://arxiv.org/abs/1707.05227v1","Auxiliary Objectives for Neural Error Detection Models","2017-07-17"
"Bi-LSTM (unrestricted data)","http://arxiv.org/abs/1607.06153v1","Compositional Sequence Labeling Models for Error Detection in Learner Writing","2016-07-20"
"Bi-LSTM + POS (trained on FCE)","http://arxiv.org/abs/1707.05227v1","Auxiliary Objectives for Neural Error Detection Models","2017-07-17"
"Bi-LSTM + LMcost (trained on FCE)","http://arxiv.org/abs/1704.07156v1","Semi-supervised Multitask Learning for Sequence Labeling","2017-04-24"
"Bi-LSTM (trained on FCE)","http://arxiv.org/abs/1607.06153v1","Compositional Sequence Labeling Models for Error Detection in Learner Writing","2016-07-20"
"SMT + BiGRU","https://aclanthology.coli.uni-saarland.de/papers/N18-2046/n18-2046","Near Human-Level Performance in Grammatical Error Correction with Hybrid Machine Translation","2018-06-01"
"CNN Seq2Seq + Quality Estimation","https://aclanthology.coli.uni-saarland.de/papers/D18-1274/d18-1274","Neural Quality Estimation of Grammatical Error Correction","2018-10-01"
"Transformer","https://aclanthology.coli.uni-saarland.de/papers/N18-1055/n18-1055","Approaching Neural Grammatical Error Correction as a Low-Resource Machine Translation Task","2018-06-01"
"CNN Seq2Seq","http://arxiv.org/abs/1801.08831v1","A Multilayer Convolutional Encoder-Decoder Neural Network for Grammatical Error Correction","2018-01-26"
"CNN Seq2Seq + Fluency Boost","http://arxiv.org/abs/1807.01270v5","Reaching Human-level Performance in Automatic Grammatical Error Correction: An Empirical Study","2018-07-03"
"CNN Seq2Seq + Fluency Boost and inference","http://arxiv.org/abs/1807.01270v5","Reaching Human-level Performance in Automatic Grammatical Error Correction: An Empirical Study","2018-07-03"
"Exact Set Matching","http://arxiv.org/abs/1809.08887v5","Spider: A Large-Scale Human-Labeled Dataset for Complex and Cross-Domain Semantic Parsing and Text-to-SQL Task","2018-09-24"
"InferSent","http://arxiv.org/abs/1705.02364v5","Supervised Learning of Universal Sentence Representations from Natural Language Inference Data","2017-05-05"
"USE_T","http://arxiv.org/abs/1803.11175v2","Universal Sentence Encoder","2018-03-29"
"LISA + ELMo","http://arxiv.org/abs/1804.08199v3","Linguistically-Informed Self-Attention for Semantic Role Labeling","2018-04-23"
"He et al. 2018 + ELMo","https://aclanthology.coli.uni-saarland.de/papers/P18-2058/p18-2058","Jointly Predicting Predicates and Arguments in Neural Semantic Role Labeling","2018-07-01"
"LISA","http://arxiv.org/abs/1804.08199v3","Linguistically-Informed Self-Attention for Semantic Role Labeling","2018-04-23"
"He et al. 2018","https://aclanthology.coli.uni-saarland.de/papers/P18-2058/p18-2058","Jointly Predicting Predicates and Arguments in Neural Semantic Role Labeling","2018-07-01"
"DeepSRL","https://aclanthology.coli.uni-saarland.de/papers/P17-1044/p17-1044","Deep Semantic Role Labeling: What Works and Whatâ<U+0080><U+0099>s Next","2017-07-01"
"BiLSTM-Span (Ensemble)","http://arxiv.org/abs/1810.02245v1","A Span Selection Model for Semantic Role Labeling","2018-10-04"
"BiLSTM-Span","http://arxiv.org/abs/1810.02245v1","A Span Selection Model for Semantic Role Labeling","2018-10-04"
"Li et al.","http://arxiv.org/abs/1901.05280v1","Dependency or Span, End-to-End Uniform Semantic Role Labeling","2019-01-16"
"He et al.,","https://aclanthology.coli.uni-saarland.de/papers/P18-2058/p18-2058","Jointly Predicting Predicates and Arguments in Neural Semantic Role Labeling","2018-07-01"
"(He et al., 2017) + ELMo","http://arxiv.org/abs/1802.05365v2","Deep contextualized word representations","2018-02-15"
"Tan et al.","http://arxiv.org/abs/1712.01586v1","Deep Semantic Role Labeling with Self-Attention","2017-12-05"
"He et al.","https://aclanthology.coli.uni-saarland.de/papers/P18-2058/p18-2058","Jointly Predicting Predicates and Arguments in Neural Semantic Role Labeling","2018-07-01"
"He et al.","https://aclanthology.coli.uni-saarland.de/papers/P17-1044/p17-1044","Deep Semantic Role Labeling: What Works and Whatâ<U+0080><U+0099>s Next","2017-07-01"
"MoNoise","http://arxiv.org/abs/1710.03476v1","MoNoise: Modeling Noise Using a Modular Normalization System","2017-10-10"
"Syllable based","","",""
"unLOL","","",""
"Joint POS + Norm in a Viterbi decoding","","",""
"DialogueRNN","http://arxiv.org/abs/1811.00405v3","DialogueRNN: An Attentive RNN for Emotion Detection in Conversations","2018-11-01"
"ICON","https://aclanthology.coli.uni-saarland.de/papers/D18-1280/d18-1280","ICON: Interactive Conversational Memory Network for Multimodal Emotion Detection","2018-10-01"
